transaction_id,customer_id,amount,payment_status,failure_reason,retry_count,days_overdue,customer_type,previous_success_rate
T001,C001,4999,Failed,Insufficient Funds,1,0,Individual,0.90
T002,C002,8999,Failed,Network Error,0,0,Premium,0.95
T003,C003,2999,Failed,Card Expired,2,0,Individual,0.70
T004,C004,12999,Failed,Insufficient Funds,2,5,Business,0.85
T005,C005,3999,Failed,Network Error,1,0,Individual,0.92
T006,C006,15999,Failed,Card Expired,3,12,Business,0.60
T007,C007,2499,Success,None,0,0,Individual,0.98
T008,C008,7999,Failed,Insufficient Funds,1,3,Premium,0.88
T009,C009,5999,Failed,Network Error,0,0,Individual,0.94
T010,C010,19999,Failed,Card Expired,2,15,Business,0.55
